doc_id,rule_name,category,span_text,context
258,BODY,BODY,heart,"in my ""listening heart"", even though I"
258,PLACE,PLACE,School,"Josias Priest's Boarding School, Chelsea. Performers: Emma"
259,BODY,BODY,touching,"liveth,"" done with touching sincerity. On the"
259,MEMORY,MEMORY,memories of,"enough to erase memories of the woolly,"
259,MEMORY,MEMORY,memories of,arias. Without effacing memories of Jennifer Vyvyan
259,PERSON,PERSON,singers,"nearly the best singers since then, thanks"
259,PERSON,PERSON,singer,charisma. The one singer who must have
260,BODY,BODY,heart,spot in my heart for it ever
262,BODY,BODY,ears,assault on the ears and on the
263,BODY,BODY,hearing,their lives without hearing Ancerl's selections with
264,BODY,BODY,ears,"work to my ears. Each movement represents,"
264,BODY,BODY,feeling,give you a feeling of life. The
264,PERSON,PERSON,listeners,"tedious to many listeners, but there are"
264,PERSON,PERSON,listeners,reason why some listeners have trouble with
264,PERSON,PERSON,listeners,give itself to listeners so easily and
264,PERSON,PERSON,people,are the same people that don't want
264,PERSON,PERSON,people,far off and people enjoying themselves outside
266,BODY,BODY,touch,him how to touch my very soul.
266,BODY,BODY,eyes,to one with eyes shut. I wonder
266,PLACE,PLACE,bar,of Zeus'. Every bar of this is
266,PERSON,PERSON,fans,all classical music fans everywhere!
267,BODY,BODY,hearing,"enthusiasm on first hearing strange music, than"
267,BODY,BODY,hand,orchestration by another hand is not a
269,PLACE,PLACE,room,that leaves no room for rhetoric. Since
270,BODY,BODY,eye,keeping a steady eye to the gradual
270,MEMORY,MEMORY,memories of,"1911), it surfaces memories of the old"
270,PLACE,PLACE,school,of the old school of Horatio Parker
271,BODY,BODY,feet,horizon four thousand feet up. This subsides
272,BODY,BODY,hand,using his left hand. This is where
272,BODY,BODY,hand,to compose left-hand concertos--most of which were
272,BODY,BODY,hand,"lost his right hand in WWI). However,"
272,BODY,BODY,cry,just makes one cry--which is every much
272,BODY,BODY,cry,only make you cry but also fill
274,PERSON,PERSON,singer,(a sadly underrepresented singer on disc) who
275,PERSON,PERSON,singer,by picking a singer from Germany in
276,BODY,BODY,cry,"from the first cry of ""Michael"" from"
277,BODY,BODY,hearing,Wagner's original after hearing Bax's 'Tintagel'. The
277,PLACE,PLACE,room,well worth the room on this CD.
277,PERSON,PERSON,listeners,to provide his listeners with this sort
278,BODY,BODY,feeling,uninspired. The general feeling is that J&auml;rvi's
278,BODY,BODY,hearing,absolutely well worth hearing. It also seems
278,PERSON,PERSON,listeners,"suspect, most potential listeners will be drawn"
279,PERSON,PERSON,listeners,the repertory. Many listeners will see why
281,PERSON,PERSON,artists,Horn Concerto. The artists are London Musici
283,BODY,BODY,feeling,"devoted playing and feeling. As a couple,"
283,PLACE,PLACE,at home,"that complex work at home, there is"
284,PERSON,PERSON,fans,Concerto. And while fans of Schnittke's late
284,PERSON,PERSON,fans,I invite those fans to explain what
286,BODY,BODY,heart,"for its gentle, heart easing tones as"
286,BODY,BODY,heart,"movement is the heart of the work,"
286,MEMORY,MEMORY,nostalgic,"lovers of a nostalgic, naive style that"
286,PERSON,PERSON,people,imagine how the people of Britain must
286,PERSON,PERSON,people,doubtless make more people listen to this
287,MEMORY,MEMORY,nostalgic,both charming and nostalgic. The concluding two
287,PLACE,PLACE,City,concerto) or the City Of London Sinfonia
288,BODY,BODY,crying,respect is a crying shame.Troilus and Cressida
288,BODY,BODY,tongue,contradistinction from the tongue-tied Troilus. Something survives
290,BODY,BODY,feeling,must have been feeling very much on
291,BODY,BODY,ears,"feast for the ears, no-one needs to"
292,BODY,BODY,hand,"on the other hand, is a fierce"
293,PLACE,PLACE,room,there is no room for slackness of
295,BODY,BODY,gut,version is uniquely gut-wrenching. Other conductors have
295,BODY,BODY,hearing,"good, all worth hearing, but none capture"
295,BODY,BODY,ears,"to strain your ears to hear it,"
295,BODY,BODY,cry,"tones--a choked, stifled cry of despair that"
295,BODY,BODY,ears,"music. To my ears, Polyansky's performance here"
295,PERSON,PERSON,people,"on the the people, the volume is"
296,BODY,BODY,hearing,"disc is worth hearing for Gubaidulina fans,"
296,PERSON,PERSON,singers,"well, for the singers lack conviction in"
296,PERSON,PERSON,fans,"hearing for Gubaidulina fans, and the sound"
297,BODY,BODY,body,"written, but his body of symphonic music"
297,BODY,BODY,hand,"On the other hand, Pleyel's Opus 66"
297,BODY,BODY,body,swell the string body unnaturally and obscure
300,BODY,BODY,heart,"his Bach ""by heart."" The pedal-notes in"
300,PLACE,PLACE,College,at the Royal College of Music; he
300,PLACE,PLACE,School,"the Second Viennese School, does not stem"
300,PERSON,PERSON,listeners,string paragraph) that listeners might well miss
319,BODY,BODY,heart,rarely matching the heart-on-the-sleeve passion of Fisk.
319,BODY,BODY,eye,be a truly eye-opening experience.
319,PERSON,PERSON,fans,for classical guitar fans looking for something
320,BODY,BODY,hearing,is apparent on hearing the ballet in
371,PERSON,PERSON,listeners,eardrum of the listeners like the fight
372,PERSON,PERSON,Fans,duet with Carmen. Fans of Ramey will
373,PLACE,PLACE,School,"the Second Viennese School, despite much greater"
373,PERSON,PERSON,singers,My two favorite singers of the role
373,PERSON,PERSON,singers,nature for modern singers. The various characters
374,BODY,BODY,cry,it were a cry of pain; conversely
374,PERSON,PERSON,singer,but more ordinary singer; his use of
375,PERSON,PERSON,singers,"is excellent. The singers, however, are another"
378,BODY,BODY,hearing,composed with his hearing still intact. Owing
378,BODY,BODY,hand,the forces at hand that is the
379,BODY,BODY,ears,post-Mozart Viennese Classical ears. Talk about a
379,BODY,BODY,hearing,what we are hearing is authentic Beethoven.
379,BODY,BODY,body,gives us full-body goose bumps with his
379,MEMORY,MEMORY,years ago,performances - and years ago that's apparently
379,PLACE,PLACE,school,"the ""period instrument"" school of performance. There"
380,BODY,BODY,hearing,extraordinary on first hearing but don't stand
380,PERSON,PERSON,artist,bag. No one artist or group has
380,PERSON,PERSON,artist,so no one artist performs each of
380,PERSON,PERSON,artist,a truly great artist or group will
381,BODY,BODY,touch,deft and light touch. Another highlight for
381,MEMORY,MEMORY,Souvenir,"set, the &#8220;Souvenir de Florence&#8221;, a sextet"
381,MEMORY,MEMORY,Souvenir,"in the &#8220;Souvenir de Florence&#8221; (1890, but"
381,MEMORY,MEMORY,Souvenir,finale of &#8220;Souvenir&#8221; and the development of
381,MEMORY,MEMORY,Souvenir,development of the Souvenir&#8217;s attractive and memorable
382,PERSON,PERSON,artist,of this tortured artist.I was moved to
383,PERSON,PERSON,singers,style in which singers did their best
383,PERSON,PERSON,singers,backdrop for the singers to belt out
384,BODY,BODY,hand,youth and the hand of the fair
384,PLACE,PLACE,City,in New York City (1880's). Gounod lavished
384,PERSON,PERSON,fans,for Samuel Ramey fans. This is one
384,PERSON,PERSON,listeners,the greatest. For listeners who want a
385,BODY,BODY,touch,Gasdia is a touch anonymous and hardly
385,BODY,BODY,touching,"(I don't), a touching but stretched de"
385,MEMORY,MEMORY,years ago,"Covent Garden some years ago, where, despite"
385,PERSON,PERSON,my wife,"Keenlyside, it left my wife and me"
385,PERSON,PERSON,artists,the absence of artists such as long-gone
385,PERSON,PERSON,singers,such as long-gone singers like Thill or
385,PERSON,PERSON,singers,and her co-singers are inferior to Rizzi's.
385,PERSON,PERSON,artist,"from this great artist, elegant and sardonic"
386,PERSON,PERSON,singers,"epic drama, great singers and large orchestras."
386,PERSON,PERSON,singers,get real French-style singers singing in the
387,PLACE,PLACE,concert hall,"and a huge concert hall sound, or"
387,PLACE,PLACE,City,in New York City. Over a two
388,PLACE,PLACE,concert hall,Bach of the concert hall; these are
388,PLACE,PLACE,room,of one's living room. Some of the
389,PERSON,PERSON,people,by the french people. In many aspects
389,PERSON,PERSON,artists,goal of both artists. Harnoncourt sounded ok
390,PERSON,PERSON,Singers,"the British King's Singers, is a full-time"
390,PERSON,PERSON,singers,"up of twelve singers: five countertenors, three"
390,PERSON,PERSON,Singers,by the Corydon Singers conducted by Matthew
391,PERSON,PERSON,people,- I know people who will take
392,BODY,BODY,ears,happens because of ears that are used
392,PERSON,PERSON,singer,"act by act, singer by singer. Of"
392,PERSON,PERSON,singer,"act, singer by singer. Of course you"
394,BODY,BODY,eyes,"passages, and my eyes and face are"
394,BODY,BODY,tears,can start the tears pouring both with
394,PLACE,PLACE,house,to leave the house after the final
395,BODY,BODY,ears,to eager Wagnerian ears. In the earlier
395,BODY,BODY,hand,a phrase goes hand in hand with
395,BODY,BODY,hand,goes hand in hand with his probing
395,BODY,BODY,hand,hotness of B&ouml;hm's hand while at the
395,BODY,BODY,breath,the score to breath akin to the
395,MEMORY,MEMORY,memories of,will never erase memories of Christa Ludwig
395,PERSON,PERSON,artist,that some promising artist or conductor comes
395,PERSON,PERSON,artists,the team of artists have bequeathed to
395,PERSON,PERSON,singers,"century's greatest Wagnerian singers (including Nina Stemme,"
395,PERSON,PERSON,singer,the greatest bass singer of this century)
395,PERSON,PERSON,listeners,closest thing many listeners will find in
395,PERSON,PERSON,artist,aided by an artist whose intelligence is
395,PERSON,PERSON,listeners,she nonetheless provides listeners with a highly
396,PERSON,PERSON,singers,"of all, the singers are the very"
397,PLACE,PLACE,school,in his Vienna school's orchestra. The Fourth
397,PERSON,PERSON,people,never heard by people often enough.
399,PERSON,PERSON,listeners,the spectrum (listeners with not much chant
399,PERSON,PERSON,listeners,all types of listeners. As per usual
402,BODY,BODY,Blood,minutes of Vienna Blood (the King's Singers
402,MEMORY,MEMORY,memories of,compete with ones memories of the orchestra.
402,PERSON,PERSON,Singers,"by the King's Singers (from 1990),Strauss: On"
402,PERSON,PERSON,Singers,Danube. The King's Singers took up the
402,PERSON,PERSON,Singers,"by the King's Singers is ""Wine, Women"
402,PERSON,PERSON,Singers,"of the King's Singers, whether in English"
402,PERSON,PERSON,Singers,"throughout life's entirety?""King's Singers (with them the"
402,PERSON,PERSON,Singers,accompaniment: the King's Singers versions are either
402,PERSON,PERSON,Singers,"With the King's Singers, the music starts"
402,PERSON,PERSON,Singers,Blood (the King's Singers toss off theirs
402,PERSON,PERSON,Singers,straw: the King's Singers offer you 67
402,PERSON,PERSON,Singers,"fun, the King's Singers's recital is much"
403,PERSON,PERSON,singers,"of two male singers, two female singers,"
403,PERSON,PERSON,singers,"singers, two female singers, and a pianist/director."
413,BODY,BODY,breath,"career. Her melismata, breath control, diction, downward"
413,BODY,BODY,breath,her delicacy is breath-taking yet there is
413,PERSON,PERSON,singers,between orchestra and singers and he never
413,PERSON,PERSON,singers,as if the singers are in a
414,BODY,BODY,body,rest of his body). The sheer beauty
414,PERSON,PERSON,singers,which allows the singers considerably more latitude
414,PERSON,PERSON,singers,"decade later. The singers here, of course,"
414,PERSON,PERSON,artist,great and serious artist he would have
414,PERSON,PERSON,artist,far more communicative artist than Sutherland was.
416,MEMORY,MEMORY,memories of,does not erase memories of Ghiaurov or
416,PERSON,PERSON,artists,the same two artists in comparable sound
416,PERSON,PERSON,artist,Talarico - an artist of whom I
417,BODY,BODY,hearing,the vapors on hearing digital recordings made
417,PLACE,PLACE,school,in junior high school--the ones that made
417,PLACE,PLACE,at home,model AM radios at home sound so
417,PLACE,PLACE,house,in an opera house. Callas was still
417,PERSON,PERSON,fans,"decorations. For Callas fans, that fully justifies"
419,BODY,BODY,heart,"singing is also heart-felt, elegant and true"
419,MEMORY,MEMORY,years ago,private Italian label years ago) is in
419,PLACE,PLACE,school,"of the old school, who sings with"
419,PERSON,PERSON,singers,many of today's singers (including some of
419,PERSON,PERSON,singers,"also allows the singers maximum flexibility, which"
420,BODY,BODY,touch,with a strong touch of profound importance.
420,BODY,BODY,touching,"beautiful, and profoundly touching. The Finale: E.D.U."
420,BODY,BODY,touch,a decidedly British touch on each of
420,PLACE,PLACE,school,"graduated from high school. Again, Boult endows"
428,BODY,BODY,shivers,it gives me shivers. No other Hagen
428,PERSON,PERSON,singers,the greatest Wagner singers and conductors of
429,PERSON,PERSON,singers,British and German singers used were really
429,PERSON,PERSON,singer,certainly an outstanding singer. Mark Obert-Thorn has
430,BODY,BODY,ears,"is, to my ears, one of the"
430,MEMORY,MEMORY,years ago,was written several years ago and things
430,PLACE,PLACE,my car,for playing in my car.2. The Brahms
439,BODY,BODY,hearing,"Trill"" Sonata, upon hearing Veracini play cancelled"
439,PLACE,PLACE,room,himself in a room to practice. Veracini
439,PERSON,PERSON,singers,"among other great singers, the castrato Farinelli"
440,BODY,BODY,hearing,"so, but after hearing numerous Enigmas from"
440,PERSON,PERSON,listeners,"I know some listeners think so, but"
442,PLACE,PLACE,room,partner who has room to complain isn't
446,BODY,BODY,hearing,"sonata - upon hearing it first, I"
446,BODY,BODY,hearing,gestalt you keep hearing about but hardly
447,BODY,BODY,hand,"reviewers. On one hand, the Penguin Guide"
447,BODY,BODY,touch,do with a touch more grunt.While his
450,BODY,BODY,gut,instruments (complete with gut strings and baroque-style
450,BODY,BODY,hand,"on the other hand, feels just right."
451,BODY,BODY,teeth,don't have any teeth; but the music
451,BODY,BODY,foot,"is a hum-along, foot-tapping job, but with"
451,BODY,BODY,ears,you get your ears blasted when the
451,BODY,BODY,feeling,this is my feeling that the percussion
451,PLACE,PLACE,House,"the Royal Opera House, Covent Garden, on"
452,BODY,BODY,ears,"pleasing to my ears, regardless of its"
452,BODY,BODY,ears,"strange to modern ears, compared to modern"
452,PERSON,PERSON,listeners,I think many listeners might prefer the
453,BODY,BODY,body,the tympani. The body of the following
454,BODY,BODY,hand,and a sure hand at pacing the
455,BODY,BODY,body,"There is some body and weight and,"
457,BODY,BODY,feeling,"great depth of feeling in these, the"
458,MEMORY,MEMORY,years ago,Bartok some 30 years ago by a
458,PLACE,PLACE,Concert Hall,1990 at the Concert Hall of the
458,PERSON,PERSON,my neighbours,"loud over speakers, my neighbours would be"
459,BODY,BODY,hearing,"sounds, on first hearing, in many ways"
460,PLACE,PLACE,Concert Hall,Recorded at the Concert Hall of the
461,BODY,BODY,touch,exhibits her graceful touch and ability to
461,BODY,BODY,feeling,appropriate depth and feeling.Bottom line: For piano
461,PLACE,PLACE,bar,in a single bar. The finale is
463,BODY,BODY,feeling,of sound and feeling. The third movement
463,MEMORY,MEMORY,years ago,&quot;Elvira Madigan&quot; some years ago. Mozart completed
463,PERSON,PERSON,listeners,most to those listeners new to music
464,BODY,BODY,touch,be just a touch inclined to 'muddiness'
465,PLACE,PLACE,school,"conductor, composer and school master. He was"
465,PERSON,PERSON,singers,"Camerata has twelve singers, who double on"
466,BODY,BODY,body,"their sound lacks body, compared to the"
467,PLACE,PLACE,College,"that of Merton College Chapel, spacious yet"
468,BODY,BODY,hand,use of right-hand keys. That would explain
468,BODY,BODY,ears,"adagios, to my ears, do stand up"
468,PERSON,PERSON,people,by the same people who played recorders
469,BODY,BODY,hearing,are eminently worth hearing in their own
470,PERSON,PERSON,My friend,"trace of Hogwoodism.""My friend read the notes"
471,BODY,BODY,feeling,outburst with superb feeling. This particular moment
471,BODY,BODY,feeling,always played with feeling. Schubert's silvery melodies
471,BODY,BODY,feeling,tremendous flare and feeling. In the first
472,BODY,BODY,tears,lightly-moving laughing through tears finale. The G
472,PERSON,PERSON,listeners,appeal most to listeners with a good
473,MEMORY,MEMORY,years ago,Haydn symphonies some years ago.The first work
473,PERSON,PERSON,Listeners,of making music. Listeners today are fortunate
473,PERSON,PERSON,listeners,enjoyment to new listeners and to lovers
474,BODY,BODY,tongue,to swallow her tongue. Nor does she
474,PERSON,PERSON,singers,"too many ""professional"" singers do: she drowns"
474,PERSON,PERSON,SINGERS,DO SO MANY SINGERS IMITATE THIS HORRIBLE
475,BODY,BODY,hand,"on the other hand, marginally more compulsive."
475,PLACE,PLACE,Concert Hall,"the Lugano Radio Concert Hall, it offers"
476,MEMORY,MEMORY,reminds me of,The fourth movement reminds me of a
476,PERSON,PERSON,listeners,It reminds some listeners of the metronome
476,PERSON,PERSON,people,CDs lead young people or other new
476,PERSON,PERSON,listeners,or other new listeners to this glorious
476,PERSON,PERSON,listeners,or lead other listeners to revisit this
478,BODY,BODY,arm,"thou long black arm,Great gun towering toward"
478,PLACE,PLACE,room,out of the room or disturb the
479,BODY,BODY,heart,sharing a single heart. If there's anything
479,BODY,BODY,ears,to my democratic ears the music of
479,BODY,BODY,body,"the crucified Messiah's body: feet, knees, hands,"
479,BODY,BODY,feet,"crucified Messiah's body: feet, knees, hands, side,"
479,BODY,BODY,heart,"hands, side, breast, heart, and face. The"
480,BODY,BODY,hand,by the left hand alone. The right
480,BODY,BODY,hand,alone. The right hand soon joins in
482,BODY,BODY,touch,"prefer J&auml;rvi's lighter touch in the Scherzo,"
483,MEMORY,MEMORY,reminds me of,which at times reminds me of Tchaikovsky
485,BODY,BODY,hearing,wasn't interested in hearing Alfred Rumplestiltskin and
485,PERSON,PERSON,my friend,and I told my friend I wasn't
486,BODY,BODY,body,he produced a body of great music.We
486,PERSON,PERSON,artists,"Unlike many other artists, Haydn, Teachout argues,"
490,BODY,BODY,ears,listening with tolerant ears. The Korngold Symphony
490,PLACE,PLACE,room,"History has no room for hypotheticals, so"
490,PLACE,PLACE,room,"Mahler paced the room muttering, ""Genius, genius."")"
490,PLACE,PLACE,School,the Second Viennese School had left him
516,BODY,BODY,heart,"that is not heart-on-sleeve, as in Berg's"
517,PLACE,PLACE,School,"Santa Ana High School, Santa Ana, CA."
517,PERSON,PERSON,fans,"of it, and fans of the Italian-American's"
517,PERSON,PERSON,artists,"recorded by numerous artists.Ruggiero Ricci (1918-2012, San"
518,PLACE,PLACE,School,Master Chorale High School Choral Festival hosted
518,PERSON,PERSON,Singers,the American Repertory Singers do an adequate
518,PERSON,PERSON,Singers,"the American Repertory Singers, make it a"
518,PERSON,PERSON,singers,tonality of the singers does an exceptional
526,BODY,BODY,feet,rushed off their feet readings. Like all
526,BODY,BODY,touch,it naturally doesn't touch me in the
526,PERSON,PERSON,Listeners,it for me.Listeners who know his recording
527,BODY,BODY,feeling,is no superfluous feeling here. The galiards
528,BODY,BODY,heart,"to those with heart complaints), and the"
528,PLACE,PLACE,at home,well have stayed at home altogether. Louder
528,PLACE,PLACE,at home,the Czechs are at home in this
529,BODY,BODY,touch,latter with a touch more reverb.The soloists
534,MEMORY,MEMORY,years ago,"friend from many years ago...familiar, yet strangely"
535,BODY,BODY,feeling,"Original as well, feeling they add beauty"
535,BODY,BODY,hand,"On the other hand, there are elements"
535,PERSON,PERSON,listeners,Unlike most listeners I have a
536,BODY,BODY,touch,models (with a touch of Sibelius). It
537,BODY,BODY,touching,that is deeply touching. The Jutland Opera
538,PERSON,PERSON,artist,that this great artist remains fairly obscure.The
539,BODY,BODY,Lips,dedicated to Friedrich Lips. The earlier accordion
539,BODY,BODY,Lips,"dedicated to Friedrich Lips, who nearly thirty"
539,BODY,BODY,Lips,piece dedicated to Lips. In spite of
539,BODY,BODY,Lips,"by Moser or Lips, and the percussionists"
539,BODY,BODY,hearing,"oeuvre, and well-worth hearing. If you enjoy"
540,BODY,BODY,feeling,"symphonies: A Cosmic feeling, partly religious, partly"
540,BODY,BODY,feeling,just the same feeling in Jacobsen's evocations
541,BODY,BODY,tears,me blessedly to tears.
541,PLACE,PLACE,bar,from the first bar on.The Bach Collegium
543,BODY,BODY,hearing,is well worth hearing for anyone interested
545,BODY,BODY,hearing,the same after hearing the Mangos sisters
545,PERSON,PERSON,listeners,"familiar to most listeners, although most of"
547,BODY,BODY,hand,developed a graphic hand however as Sylvano
548,BODY,BODY,touching,"poignant passages, wonderfully touching or marvelously energetic"
549,MEMORY,MEMORY,reminds me of,work which sometimes reminds me of Falla's
549,PLACE,PLACE,City,"the New York City Opera, after having"
587,BODY,BODY,chest,lyric with strong chest register. The cast
587,BODY,BODY,cry,"Pensiero, the Hebrews cry for freedom which"
587,PERSON,PERSON,singer,another great Verdi singer that together with
588,BODY,BODY,heart,string theme is heart-breakingly tender. I can
588,MEMORY,MEMORY,years ago,was over thirty years ago and despite
588,PLACE,PLACE,concert hall,close to a concert hall atmosphere as
589,PERSON,PERSON,fans,must-hear for classical fans. The end of
590,BODY,BODY,tears,"scene. She really tears up the scene,"
590,BODY,BODY,chest,the best soprano chest registers that I
590,BODY,BODY,shivers,Domingo gives me shivers.....probably the sexiest piece
590,BODY,BODY,heart,acts are absolutely heart breaking. Freni gives
590,BODY,BODY,chest,sings with deep chest tones to match
591,MEMORY,MEMORY,I remember,"... or that?"" I remember many years"
591,MEMORY,MEMORY,years ago,I remember many years ago when Bernstein
591,PERSON,PERSON,people,some Amazon reviews people say Sinopoli's Verdi
592,BODY,BODY,ears,in through the ears around half-way thru.i
592,MEMORY,MEMORY,reminds me of,part that always reminds me of a
593,PERSON,PERSON,artists,world of recording artists. The result is
594,BODY,BODY,feeling,yet never without feeling or coldly. Or
594,PERSON,PERSON,artist,"be that rare artist, someone who can"
595,BODY,BODY,hand,"on the other hand, imagine Leopold's reaction"
596,PERSON,PERSON,artists,to how the artists would interpret the
597,PLACE,PLACE,house,description of a house with a warm
598,BODY,BODY,feeling,"about the phrasing feeling completely ""right"" -"
599,PERSON,PERSON,singers,"all-star cast of singers. Dietrich Fischer-Dieskau, Peter"
599,PERSON,PERSON,singer,"as a trained singer, I can assure"
600,BODY,BODY,limbs,"its torso and limbs missing, the statue"
600,BODY,BODY,hand,"even so, one hand still points resolutely"
600,PLACE,PLACE,bar,"low-salt, gluten-free muesli bar as you behold"
600,PERSON,PERSON,artist,draughtsman and an artist; Piranesi's ability to
600,PERSON,PERSON,singers,the venture.The female singers are a heavenly
601,BODY,BODY,heart,rather harrowing and heart breaking experience hearing
601,BODY,BODY,hearing,heart breaking experience hearing Butterfly inexorably heading
601,BODY,BODY,heart,wallow to your heart's content.
602,MEMORY,MEMORY,reminds me of,"of emotions, which reminds me of a"
602,PERSON,PERSON,singers,can see the singers sing and act
603,BODY,BODY,hearing,the pleasure of hearing. When compared to
603,MEMORY,MEMORY,years ago,those from 50 years ago I think
603,PERSON,PERSON,artists,"the Emersons, headline artists for their label,"
604,BODY,BODY,ears,someone with better ears than you. If
604,PLACE,PLACE,concert hall,Quartet in the concert hall) is of
605,PERSON,PERSON,people,in front of people who also look
606,BODY,BODY,hand,"a score in hand, you will understand"
606,PERSON,PERSON,people,"repertoire.(*)That said, some people will question Emerson's"
607,BODY,BODY,touch,is a lovely touch.Ravel was no musical
607,BODY,BODY,touching,This beautiful and touching little tale brings
607,PERSON,PERSON,singers,as well. The singers capture the humour
608,PERSON,PERSON,singers,"good. All the singers here are superb,"
609,PERSON,PERSON,people,not surprising for people to point at
609,PERSON,PERSON,singers,are problems. The singers may have moments
610,BODY,BODY,heart,Turandot's change of heart such a problem:
610,BODY,BODY,heart,"a change of heart? Anyways, the drama"
610,BODY,BODY,breath,"frequently out of breath, straining at the"
610,PERSON,PERSON,people,her range. Most people who have sang
610,PERSON,PERSON,singers,As with most singers do when they
611,BODY,BODY,breath,until the last breath. The fortissimos are
611,PLACE,PLACE,school,by a high school student if I
611,PERSON,PERSON,fans,"are many Corelli fans out there, but..."
611,PERSON,PERSON,fans,recommended for her fans).If we compare the
611,PERSON,PERSON,singers,we compare the singers of these two
612,PERSON,PERSON,singers,performance is wonderful.The singers are also in
612,PERSON,PERSON,fans,"modern listener, though fans of the old"
613,BODY,BODY,hand,"two, recordings off hand that include all"
613,PERSON,PERSON,singers,superior conducting and singers that treat the
614,PLACE,PLACE,House,"Consecration of the House, King Stephen and"
615,PERSON,PERSON,artists,by various Dutch artists. The music is
617,BODY,BODY,heart,and subduing the heart of any listener.
617,MEMORY,MEMORY,I remember,of any listener. I remember the first
617,PERSON,PERSON,people,brilliant. Alot of people think Zimerman made
618,BODY,BODY,hearing,meaning without ever hearing those performances.Yes you
618,BODY,BODY,ears,"heard, to my ears this work is"
618,PLACE,PLACE,concert hall,the artificial sounding concert hall acoustic and
618,PERSON,PERSON,people,seems that many people take it for
618,PERSON,PERSON,people,main reason why people underrate this set
619,BODY,BODY,ears,'stringy' to modern ears but what strings
619,BODY,BODY,ears,- to my ears do not differ
619,BODY,BODY,feet,whereas at his feet lie the puny
619,PERSON,PERSON,listeners,"know, 90% of listeners prefer the 1963"
619,PERSON,PERSON,people,is observed. Many people are not convinced
620,BODY,BODY,feeling,sacrifices his own feeling for precision and
620,BODY,BODY,touch,for a human touch (in the Eroica
620,PLACE,PLACE,school,interpretation. The newer school of historically informed
620,PERSON,PERSON,people,"to hear. Overall, people who prize orchestral"
620,PERSON,PERSON,people,of course for people who do not
620,PERSON,PERSON,listeners,these interpretations and listeners should go elsewhere
622,PLACE,PLACE,house,mainly from their house pianists - who
622,PERSON,PERSON,fans,"type (sorry, Arrau fans); Rubinstein is of"
623,BODY,BODY,blood,of the poet's blood. His ability to
623,BODY,BODY,hand,right and left hand is limited compared
623,BODY,BODY,feeling,"create a heady feeling of weightlessness, so"
623,PLACE,PLACE,school,"and the Russian school, however, even the"
624,BODY,BODY,feeling,have that itching feeling that I would
624,PERSON,PERSON,Singers,at the time. Singers tend to be
624,PERSON,PERSON,singers,the leading Viennese singers of the time.
625,BODY,BODY,touch,bring the delicate touch you would expect
625,BODY,BODY,heart,know in my heart that Mozart is
